"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 27 17:13:16 UTC 2025","Sat Dec 27 17:13:17 UTC 2025","502","tests","test_login_page","","","","Login attempt with invalid username or password","
Verifies that a user cannot log in with invalid credentials.

Steps:
1. Open the login page.
2. Enter an invalid username and/or password.
3. Submit the login form.
4. Verify that the correct error message is displayed.
"
"passed","Sat Dec 27 17:13:36 UTC 2025","Sat Dec 27 17:13:42 UTC 2025","5967","tests","test_login_page","","","","Login with performance glitch user","
Verifies that a user with valid credentials can successfully log in
even when the page loads with a noticeable delay.

Steps:
1. Open the login page.
2. Enter valid credentials for a performance glitch user.
3. Submit the login form.
4. Wait for the page to fully load.
5. Verify that the main header 'Swag Labs' is displayed.
"
"passed","Sat Dec 27 17:13:11 UTC 2025","Sat Dec 27 17:13:12 UTC 2025","823","tests","test_login_page","","","","Login with valid credentials and page validation","
Verifies that a user with valid credentials can successfully log in and that the login page is loaded correctly.

Steps:
1. Open the login page.
2. Verify that the URL is correct and all key elements are visible.
3. Enter a valid username and password.
4. Submit the login form.
5. Verify that the main header 'Swag Labs' is displayed after login.
"
"passed","Sat Dec 27 17:13:18 UTC 2025","Sat Dec 27 17:13:19 UTC 2025","975","tests","test_login_page","","","","Login attempt with invalid username or password","
Verifies that a user cannot log in with invalid credentials.

Steps:
1. Open the login page.
2. Enter an invalid username and/or password.
3. Submit the login form.
4. Verify that the correct error message is displayed.
"
"passed","Sat Dec 27 17:13:20 UTC 2025","Sat Dec 27 17:13:21 UTC 2025","446","tests","test_login_page","","","","Login attempt with locked out user","
Verifies that a locked out user cannot log in to the system.

Steps:
1. Open the login page.
2. Enter credentials of a locked out user.
3. Submit the login form.
4. Verify that the appropriate error message is displayed.
"
"passed","Sat Dec 27 17:13:23 UTC 2025","Sat Dec 27 17:13:24 UTC 2025","979","tests","test_login_page","","","","Login attempt with locked out user","
Verifies that a locked out user cannot log in to the system.

Steps:
1. Open the login page.
2. Enter credentials of a locked out user.
3. Submit the login form.
4. Verify that the appropriate error message is displayed.
"
"passed","Sat Dec 27 17:13:29 UTC 2025","Sat Dec 27 17:13:34 UTC 2025","5490","tests","test_login_page","","","","Login with performance glitch user","
Verifies that a user with valid credentials can successfully log in
even when the page loads with a noticeable delay.

Steps:
1. Open the login page.
2. Enter valid credentials for a performance glitch user.
3. Submit the login form.
4. Wait for the page to fully load.
5. Verify that the main header 'Swag Labs' is displayed.
"
"passed","Sat Dec 27 17:13:27 UTC 2025","Sat Dec 27 17:13:28 UTC 2025","832","tests","test_login_page","","","","Login attempt with empty username and password","
Verifies that the system prevents login when required fields are empty.

Steps:
1. Open the login page.
2. Leave the username and password fields empty.
3. Submit the login form.
4. Verify that the validation error message is displayed.
"
"passed","Sat Dec 27 17:13:25 UTC 2025","Sat Dec 27 17:13:25 UTC 2025","331","tests","test_login_page","","","","Login attempt with empty username and password","
Verifies that the system prevents login when required fields are empty.

Steps:
1. Open the login page.
2. Leave the username and password fields empty.
3. Submit the login form.
4. Verify that the validation error message is displayed.
"
"passed","Sat Dec 27 17:13:14 UTC 2025","Sat Dec 27 17:13:15 UTC 2025","992","tests","test_login_page","","","","Login with valid credentials and page validation","
Verifies that a user with valid credentials can successfully log in and that the login page is loaded correctly.

Steps:
1. Open the login page.
2. Verify that the URL is correct and all key elements are visible.
3. Enter a valid username and password.
4. Submit the login form.
5. Verify that the main header 'Swag Labs' is displayed after login.
"
